game_id,game_seconds,game_period,x_coord,y_coord,shot_distance,shot_angle,shot_type,empty_net,last_event_type,last_event_x,last_event_y,time_since_last_event,distance_from_last_event,friendly_skaters,opposing_skaters,attacking_team_id,attacking_team_name,home_team,is_goal,rebound,shot_angle_change,speed
2017021065,1619,2,-69.0,-26.0,32.802438933713454,-52.43140797117251,snap,0,hit,-94.0,35.0,12,65.92419889539804,5,5,52,Jets,Capitals,0,False,0.0,5.493683241283169
2017021065,1650,2,-62.0,2.0,27.073972741361768,4.23639479905884,,1,hit,-29.0,40.0,4,50.32891812864648,5,5,52,Jets,Capitals,0,False,0.0,12.58222953216162
2017021065,1656,2,87.0,-7.0,7.280109889280518,74.05460409907715,wrist,0,blocked-shot,-62.0,2.0,6,149.27156460625713,5,5,15,Capitals,Capitals,0,False,0.0,24.878594101042854
2017021065,1676,2,-35.0,22.0,58.309518948453004,22.166345822082455,slap,0,faceoff,-69.0,22.0,3,34.0,5,5,52,Jets,Capitals,0,False,0.0,11.333333333333334
2017021065,1746,2,69.0,-21.0,29.0,46.39718102729638,snap,0,takeaway,61.0,-9.0,1,14.422205101855956,5,5,15,Capitals,Capitals,0,False,0.0,14.422205101855956
2017021065,1753,2,50.0,27.0,47.43416490252569,-34.69515353123397,,1,faceoff,69.0,-22.0,4,52.55473337388365,5,5,15,Capitals,Capitals,0,False,0.0,13.138683343470912
2017021065,1784,2,-74.0,0.0,15.0,0.0,wrist,0,hit,90.0,37.0,15,168.12197952677099,5,5,52,Jets,Capitals,0,False,0.0,11.208131968451399
2017021065,1797,2,76.0,10.0,16.401219466856727,-37.568592028827496,,1,shot-on-goal,-74.0,0.0,13,150.33296378372907,5,5,15,Capitals,Capitals,0,True,-37.568592028827496,11.564074137209928
2017021065,1802,2,33.0,26.0,61.741396161732524,-24.904768808095188,wrist,0,hit,90.0,39.0,1,58.463663928973865,5,5,15,Capitals,Capitals,0,False,0.0,58.463663928973865
2017021065,1814,2,85.0,7.0,8.06225774829855,-60.25511870305778,backhand,0,missed-shot,33.0,26.0,12,55.362442142665635,5,5,15,Capitals,Capitals,0,False,0.0,4.613536845222137
2017021065,1838,2,35.0,-31.0,62.26556030423239,29.859016164923098,,1,faceoff,69.0,22.0,23,62.96824596572466,5,5,15,Capitals,Capitals,0,False,0.0,2.7377498245967247
2017021065,1878,2,-43.0,3.0,46.09772228646444,3.7313969991604465,snap,0,hit,-87.0,-34.0,9,57.48912940721924,5,5,52,Jets,Capitals,0,False,0.0,6.387681045246582
2017021065,1886,2,-71.0,5.0,18.681541692269406,15.524110996754258,,1,shot-on-goal,-43.0,3.0,8,28.071337695236398,5,5,52,Jets,Capitals,0,True,11.792713997593811,3.5089172119045497
2017021065,1923,2,43.0,-14.0,48.08326112068523,16.927513064147043,,1,takeaway,-31.0,33.0,13,87.66413177577246,5,5,15,Capitals,Capitals,0,False,0.0,6.743394751982497
2017021065,1951,2,-59.0,34.0,45.34313619501854,48.57633437499735,wrist,0,faceoff,-69.0,22.0,7,15.620499351813308,5,4,52,Jets,Capitals,0,False,0.0,2.231499907401901
2017021065,1965,2,-75.0,7.0,15.652475842498529,26.56505117707799,tip-in,0,missed-shot,-59.0,34.0,14,31.38470965295043,5,4,52,Jets,Capitals,0,False,0.0,2.241764975210745
2017021065,1983,2,-49.0,-18.0,43.86342439892262,-24.22774531795417,snap,0,missed-shot,-75.0,7.0,18,36.069377593742864,5,4,52,Jets,Capitals,0,False,0.0,2.0038543107634923
2017021065,2047,2,-53.0,5.0,36.345563690772494,7.907162702958458,,1,hit,97.0,-16.0,15,151.46286673637206,5,4,52,Jets,Capitals,0,False,0.0,10.097524449091472
2017021065,2065,2,-68.0,28.0,35.0,53.13010235415598,,1,blocked-shot,-53.0,5.0,18,27.459060435491963,5,5,52,Jets,Capitals,0,False,0.0,1.5255033575273313
2017021065,2086,2,-52.0,13.0,39.21734310225516,19.35899417569472,wrist,0,takeaway,-94.0,-27.0,9,58.0,5,5,52,Jets,Capitals,0,False,0.0,6.444444444444445
